Year,Month,Platform,Channel,KPI,Actual,Target
2025,Jan,Customer Portal,WHS,Registered Customers,715,700
2025,Jan,Customer Portal,WHS,Active Customers,320,315
2025,Jan,Customer Portal,WHS,Delivered Orders,1451,1418
2025,Jan,Customer Portal,WHS,Order Frequency,4.5,
2025,Jan,Customer Portal,WHS,Fulfillment Rate %,83,
2025,Jan,Customer Portal,WHS,Digital Order Share %,10.72,
2025,Jan,Customer Portal,WHS,Volume UC,393067,219733
2025,Jan,Customer Portal,WHS,UC per Order,271,
2025,Jan,Customer Portal,WHS,Digital Volume Share %,7.77,
2025,Feb,Customer Portal,WHS,Registered Customers,813,875
2025,Feb,Customer Portal,WHS,Active Customers,385,394
2025,Feb,Customer Portal,WHS,Delivered Orders,1284,1772
2025,Feb,Customer Portal,WHS,Order Frequency,3.3,
2025,Feb,Customer Portal,WHS,Fulfillment Rate %,77,
2025,Feb,Customer Portal,WHS,Digital Order Share %,8.72,
2025,Feb,Customer Portal,WHS,Volume UC,462622,358414
2025,Feb,Customer Portal,WHS,UC per Order,360,
2025,Feb,Customer Portal,WHS,Digital Volume Share %,6.23,
2025,Mar,Customer Portal,WHS,Registered Customers,921,1050
2025,Mar,Customer Portal,WHS,Active Customers,350,473
2025,Mar,Customer Portal,WHS,Delivered Orders,1942,2126
2025,Mar,Customer Portal,WHS,Order Frequency,5.5,
2025,Mar,Customer Portal,WHS,Fulfillment Rate %,80,
2025,Mar,Customer Portal,WHS,Digital Order Share %,7.68,
2025,Mar,Customer Portal,WHS,Volume UC,573201,631409
2025,Mar,Customer Portal,WHS,UC per Order,295,
2025,Mar,Customer Portal,WHS,Digital Volume Share %,4.99,
2025,Apr,Customer Portal,WHS,Registered Customers,1155,1225
2025,Apr,Customer Portal,WHS,Active Customers,650,551
2025,Apr,Customer Portal,WHS,Delivered Orders,2985,2481
2025,Apr,Customer Portal,WHS,Order Frequency,4.6,
2025,Apr,Customer Portal,WHS,Fulfillment Rate %,85,
2025,Apr,Customer Portal,WHS,Digital Order Share %,13.38,
2025,Apr,Customer Portal,WHS,Volume UC,852474,504660
2025,Apr,Customer Portal,WHS,UC per Order,286,
2025,Apr,Customer Portal,WHS,Digital Volume Share %,9.11,
2025,May,Customer Portal,WHS,Registered Customers,1364,1365
2025,May,Customer Portal,WHS,Active Customers,764,614
